Prompt Type,Model,long,medium,short
Iteration,,1,1,1
0,gpt-3.5-turbo,11.566905,10.562145,11.120131
1,gpt-3.5-turbo-0301,7.828596,7.744185,7.909434
2,gpt-3.5-turbo-0613,10.026513,9.839264,10.604346
3,gpt-3.5-turbo-16k,16.668245,16.973192,15.262443
4,gpt-3.5-turbo-16k-0613,14.816843,16.054112,15.080984
5,gpt-4,10.400623,9.377445,10.639576
6,gpt-4-0314,14.057524,15.192586,15.133967
7,gpt-4-0613,9.001926,9.864612,8.482413
