Prompt Type,Model,long,medium,short
Iteration,,1,1,1
0,gpt-3.5-turbo,9.88446,9.613096,9.401876
1,gpt-3.5-turbo-0301,5.067328,5.009892,5.073623
2,gpt-3.5-turbo-0613,10.21136,9.219739,9.743071
3,gpt-3.5-turbo-16k,12.476396,12.595166,12.568892
4,gpt-3.5-turbo-16k-0613,13.927896,12.20224,14.229539
5,gpt-4,14.432923,15.12351,16.450522
6,gpt-4-0314,11.356409,11.301452,12.937198
7,gpt-4-0613,15.718567,15.249506,15.567155
