Prompt Type,Model,long,medium,short
Iteration,,1,1,1
0,gpt-3.5-turbo,24.772971,23.68916,
1,gpt-3.5-turbo-0301,15.232864,16.558927,16.301255
2,gpt-3.5-turbo-0613,23.274287,23.645954,23.39582
3,gpt-3.5-turbo-16k,34.344108,22.641498,27.129887
4,gpt-3.5-turbo-16k-0613,28.436298,24.264418,27.168975
5,gpt-4,9.923957,10.289991,11.463649
6,gpt-4-0314,17.064962,16.684867,16.796727
7,gpt-4-0613,10.1194,10.769961,10.478472
