Prompt Type,Model,long,medium,short
Iteration,,1,1,1
0,gpt-3.5-turbo,15.259548,12.645432,16.59781
1,gpt-3.5-turbo-0301,15.565035,14.989497,15.304008
2,gpt-3.5-turbo-0613,12.731136,11.599024,11.509332
3,gpt-3.5-turbo-16k,21.431884,21.294145,20.610301
4,gpt-3.5-turbo-16k-0613,21.222515,18.654652,20.023876
5,gpt-4,11.368449,11.517278,10.085503
6,gpt-4-0314,11.879982,12.444407,10.838175
7,gpt-4-0613,10.900466,10.903394,9.685839
