Prompt Type,Model,long,medium,short
Iteration,,1,1,1
0,gpt-3.5-turbo,10.78006,10.988058,11.174315
1,gpt-3.5-turbo-0301,8.431091,8.340688,8.465923
2,gpt-3.5-turbo-0613,11.591346,11.420117,11.351552
3,gpt-3.5-turbo-16k,14.799489,15.925485,14.660283
4,gpt-3.5-turbo-16k-0613,15.825068,15.930104,15.680586
5,gpt-4,7.586101,7.019918,8.8832
6,gpt-4-0314,10.740966,8.607813,8.748566
7,gpt-4-0613,7.922447,7.577149,7.868283
