Prompt Type,Model,long,medium,short
Iteration,,1,1,1
0,gpt-3.5-turbo,10.363246,10.269564,10.461437
1,gpt-3.5-turbo-0301,9.261009,9.306327,9.139166
2,gpt-3.5-turbo-0613,2.557392,10.065522,9.988325
3,gpt-3.5-turbo-16k,9.334495,8.122054,8.640555
4,gpt-3.5-turbo-16k-0613,6.749829,7.831973,7.200569
5,gpt-4,11.156758,11.934291,11.569566
6,gpt-4-0314,10.877184,9.777015,9.804777
7,gpt-4-0613,10.668679,10.657566,9.634418
