Prompt Type,Model,long,medium,short
Iteration,,1,1,1
0,gpt-3.5-turbo,34.265253,12.040709,20.448798
1,gpt-3.5-turbo-0301,13.706445,15.107581,15.021753
2,gpt-3.5-turbo-0613,11.40308,,12.445011
3,gpt-3.5-turbo-16k,20.34267,20.003967,20.564155
4,gpt-3.5-turbo-16k-0613,20.947393,20.226029,22.107384
5,gpt-4,10.708042,12.242984,12.523169
6,gpt-4-0314,15.012389,14.480309,13.077443
7,gpt-4-0613,12.465019,11.10986,12.368931
