Prompt Type,Model,long,medium,short
Iteration,,1,1,1
0,gpt-3.5-turbo,11.45828,10.902741,10.367784
1,gpt-3.5-turbo-0301,10.239015,10.832138,10.162575
2,gpt-3.5-turbo-0613,10.616226,12.78363,10.376525
3,gpt-3.5-turbo-16k,21.539074,23.128258,20.149749
4,gpt-3.5-turbo-16k-0613,23.153342,21.715977,22.502885
5,gpt-4,16.72106,17.085332,16.965184
6,gpt-4-0314,13.049614,12.902634,14.498368
7,gpt-4-0613,14.429964,17.791097,16.104597
