Prompt Type,Model,long,medium,short
Iteration,,1,1,1
0,gpt-3.5-turbo,14.468041,,14.598514
1,gpt-3.5-turbo-0301,18.618051,18.143994,18.065479
2,gpt-3.5-turbo-0613,13.001008,13.044153,12.607694
3,gpt-3.5-turbo-16k,24.205693,22.333714,24.057569
4,gpt-3.5-turbo-16k-0613,22.104194,24.216748,25.174081
5,gpt-4,9.313321,9.648054,10.435555
6,gpt-4-0314,11.065678,11.733431,12.358969
7,gpt-4-0613,12.45453,11.000897,10.680126
