Prompt Type,Model,long,medium,short
Iteration,,1,1,1
0,gpt-3.5-turbo,10.820482,10.641659,11.510894
1,gpt-3.5-turbo-0301,7.574721,7.445863,7.344211
2,gpt-3.5-turbo-0613,11.008302,10.224935,10.268956
3,gpt-3.5-turbo-16k,12.494799,12.154799,14.326565
4,gpt-3.5-turbo-16k-0613,13.302972,12.181182,12.544994
5,gpt-4,8.064587,8.380924,6.819408
6,gpt-4-0314,8.555642,9.129239,8.012454
7,gpt-4-0613,6.485369,7.24573,7.77488
