Prompt Type,Model,long,medium,short
Iteration,,1,1,1
0,gpt-3.5-turbo,11.670914,11.953808,11.856915
1,gpt-3.5-turbo-0301,7.450553,7.370797,7.40238
2,gpt-3.5-turbo-0613,10.984974,11.641022,11.985601
3,gpt-3.5-turbo-16k,14.06739,15.034545,16.041368
4,gpt-3.5-turbo-16k-0613,17.112206,14.586474,16.328623
5,gpt-4,14.574754,13.513313,13.555524
6,gpt-4-0314,13.066839,15.953201,19.310749
7,gpt-4-0613,13.56016,13.388002,15.593973
