Prompt Type,Model,long,medium,short
Iteration,,1,1,1
0,gpt-3.5-turbo,13.581157,12.058977,
1,gpt-3.5-turbo-0301,15.215488,14.897784,15.23124
2,gpt-3.5-turbo-0613,12.828288,12.591164,11.281929
3,gpt-3.5-turbo-16k,23.381062,23.604904,29.761565
4,gpt-3.5-turbo-16k-0613,26.317333,26.184643,25.07607
5,gpt-4,17.666272,17.659295,18.21891
6,gpt-4-0314,21.749864,20.820577,20.046082
7,gpt-4-0613,15.783024,16.859661,15.448484
