Prompt Type,Model,long,medium,short
Iteration,,1,1,1
0,gpt-3.5-turbo,9.741329,9.984795,10.125943
1,gpt-3.5-turbo-0301,8.356035,8.220109,8.4494
2,gpt-3.5-turbo-0613,10.772822,12.939361,10.536341
3,gpt-3.5-turbo-16k,13.687842,13.844204,15.063648
4,gpt-3.5-turbo-16k-0613,13.863134,13.546105,13.280516
5,gpt-4,13.285436,16.820298,14.408164
6,gpt-4-0314,15.590232,17.517618,13.664894
7,gpt-4-0613,15.602468,14.86636,14.663949
