Prompt Type,Model,long,medium,short
Iteration,,1,1,1
0,gpt-3.5-turbo,,11.644845,11.911814
1,gpt-3.5-turbo-0301,,17.039244,18.6685
2,gpt-3.5-turbo-0613,12.646904,12.426466,12.129939
3,gpt-3.5-turbo-16k,,37.344214,26.611045
4,gpt-3.5-turbo-16k-0613,32.684233,,
5,gpt-4,15.788059,14.032673,15.038035
6,gpt-4-0314,18.196691,19.409365,18.239491
7,gpt-4-0613,15.479196,15.549648,15.697226
