Prompt Type,Model,long,medium,short
Iteration,,1,1,1
0,gpt-3.5-turbo,10.399602,10.748166,10.308774
1,gpt-3.5-turbo-0301,4.375768,4.390098,4.305241
2,gpt-3.5-turbo-0613,10.261231,9.957175,10.068865
3,gpt-3.5-turbo-16k,6.593035,7.267737,6.165566
4,gpt-3.5-turbo-16k-0613,7.270627,6.97189,8.785355
5,gpt-4,11.5837,12.588426,12.167429
6,gpt-4-0314,10.996564,11.274483,8.758133
7,gpt-4-0613,12.582045,11.571411,12.079503
