Prompt Type,Model,long,medium,short
Iteration,,1,1,1
0,gpt-3.5-turbo,10.371227,10.509522,11.815539
1,gpt-3.5-turbo-0301,4.299388,3.989538,4.314183
2,gpt-3.5-turbo-0613,10.590978,10.022539,10.708795
3,gpt-3.5-turbo-16k,8.474835,11.988554,10.050993
4,gpt-3.5-turbo-16k-0613,10.632976,9.667604,9.891663
5,gpt-4,15.831186,17.654948,18.467956
6,gpt-4-0314,14.76846,13.200387,16.58919
7,gpt-4-0613,15.471525,14.246164,16.137835
