Prompt Type,Model,long,medium,short
Iteration,,1,1,1
0,gpt-3.5-turbo,11.049379,12.315449,10.75425
1,gpt-3.5-turbo-0301,6.570778,6.548449,6.159767
2,gpt-3.5-turbo-0613,10.66714,10.186112,9.812881
3,gpt-3.5-turbo-16k,8.132741,8.207929,9.064406
4,gpt-3.5-turbo-16k-0613,7.644791,7.757088,8.225569
5,gpt-4,18.005214,16.137653,17.952615
6,gpt-4-0314,17.16003,15.836305,16.521006
7,gpt-4-0613,16.700478,19.431874,18.329431
