Prompt Type,Model,long,medium,short
Iteration,,1,1,1
0,gpt-3.5-turbo,13.559799,13.932857,14.8183
1,gpt-3.5-turbo-0301,14.222759,14.558058,13.954116
2,gpt-3.5-turbo-0613,22.732609,,15.313504
3,gpt-3.5-turbo-16k,28.98238,26.686277,25.122536
4,gpt-3.5-turbo-16k-0613,19.880862,20.085985,22.638483
5,gpt-4,13.907527,17.378663,13.141625
6,gpt-4-0314,18.785478,18.766102,20.339975
7,gpt-4-0613,14.123144,16.903279,16.726285
