Prompt Type,Model,long,medium,short
Iteration,,1,1,1
0,gpt-3.5-turbo,19.596955,18.841934,18.838236
1,gpt-3.5-turbo-0301,9.829143,11.30942,11.172703
2,gpt-3.5-turbo-0613,18.516988,19.090775,2.875578
3,gpt-3.5-turbo-16k,23.703545,25.721085,21.538953
4,gpt-3.5-turbo-16k-0613,18.60844,21.751122,26.002177
5,gpt-4,15.302735,15.201342,14.652816
6,gpt-4-0314,35.759896,35.322215,34.582681
7,gpt-4-0613,15.397592,15.963553,16.043316
