Prompt Type,Model,long,long,long,medium,medium,medium,short,short,short
Iteration,,1,2,3,1,2,3,1,2,3
0,gpt-3.5-turbo,13.382731,12.947923,13.374909,13.883069,13.78271,14.531456,12.688593,13.749246,13.572284
1,gpt-3.5-turbo-0301,11.913029,12.229476,10.790304,11.723325,11.586454,11.194042,11.562568,11.910684,13.110123
2,gpt-3.5-turbo-0613,3.787875,14.874732,12.044844,13.199359,15.347639,11.516342,12.344209,13.505196,13.017362
3,gpt-3.5-turbo-16k,20.099414,20.868745,15.753494,20.322364,22.544861,16.399177,20.863895,23.182686,16.407049
4,gpt-3.5-turbo-16k-0613,20.052912,23.448538,20.469882,19.703412,21.707752,17.032182,19.850409,22.558058,16.92444
5,gpt-4,11.080913,10.280446,8.692922,9.630885,9.387431,9.308149,9.837203,9.047069,9.644344
6,gpt-4-0314,11.634872,9.749471,9.430679,11.992909,9.754721,10.375553,10.558869,11.165915,11.993889
7,gpt-4-0613,10.096471,9.580751,9.568537,9.747305,11.232102,11.551465,9.784731,10.308829,11.826387
