Prompt Type,Model,long,medium,short
Iteration,,1,1,1
0,gpt-3.5-turbo,12.244669,12.054389,12.308438
1,gpt-3.5-turbo-0301,14.464332,15.305966,14.726245
2,gpt-3.5-turbo-0613,12.041291,22.87017,11.580805
3,gpt-3.5-turbo-16k,21.787916,21.066905,21.830283
4,gpt-3.5-turbo-16k-0613,21.400718,22.057259,23.923253
5,gpt-4,12.671399,11.479027,10.496148
6,gpt-4-0314,18.038268,16.411446,17.309412
7,gpt-4-0613,10.399785,10.631298,11.51902
