Prompt Type,Model,long,medium,short
Iteration,,1,1,1
0,gpt-3.5-turbo,11.390455,19.457421,11.44977
1,gpt-3.5-turbo-0301,8.81058,8.391435,8.40161
2,gpt-3.5-turbo-0613,11.321776,11.5544,11.348027
3,gpt-3.5-turbo-16k,23.126353,21.044962,19.909224
4,gpt-3.5-turbo-16k-0613,20.834636,21.280456,19.590615
5,gpt-4,14.716177,14.2133,14.792538
6,gpt-4-0314,12.052421,14.174911,12.567695
7,gpt-4-0613,14.213651,16.308784,13.458225
