Prompt Type,Model,long,medium,short
Iteration,,1,1,1
0,gpt-3.5-turbo,14.908196,15.187522,15.59621
1,gpt-3.5-turbo-0301,13.557532,14.486401,14.079117
2,gpt-3.5-turbo-0613,13.601914,16.794696,14.3575
3,gpt-3.5-turbo-16k,20.696439,20.638591,20.953121
4,gpt-3.5-turbo-16k-0613,20.741311,20.695264,21.762485
5,gpt-4,13.48344,17.460346,16.883845
6,gpt-4-0314,10.805973,13.256643,10.580857
7,gpt-4-0613,12.933004,14.028884,17.563609
