Prompt Type,Model,long,medium,short
Iteration,,1,1,1
0,gpt-3.5-turbo,9.991594,10.584569,10.343886
1,gpt-3.5-turbo-0301,14.064464,12.814196,13.020094
2,gpt-3.5-turbo-0613,9.344708,10.03213,12.732819
3,gpt-3.5-turbo-16k,24.535326,,26.902505
4,gpt-3.5-turbo-16k-0613,22.85374,24.770159,
5,gpt-4,16.713806,17.305381,18.228889
6,gpt-4-0314,20.74665,17.13622,18.323422
7,gpt-4-0613,16.581051,15.408822,17.564715
