Prompt Type,Model,long,medium,short
Iteration,,1,1,1
0,gpt-3.5-turbo,20.119625,18.662919,36.910254
1,gpt-3.5-turbo-0301,18.758363,19.141741,19.095687
2,gpt-3.5-turbo-0613,18.574927,19.289037,27.822345
3,gpt-3.5-turbo-16k,26.137025,25.791907,25.441123
4,gpt-3.5-turbo-16k-0613,25.956876,29.782363,24.853388
5,gpt-4,11.831645,9.562154,9.737462
6,gpt-4-0314,17.605532,18.429364,17.556547
7,gpt-4-0613,12.919202,12.283938,11.545212
