Prompt Type,Model,long,medium,short
Iteration,,1,1,1
0,gpt-3.5-turbo,13.98608,15.688006,9.575397
1,gpt-3.5-turbo-0301,15.210941,15.689074,16.161033
2,gpt-3.5-turbo-0613,9.966619,12.423542,11.284255
3,gpt-3.5-turbo-16k,28.904467,25.091526,31.603263
4,gpt-3.5-turbo-16k-0613,24.775807,26.756643,29.315034
5,gpt-4,11.928615,13.338236,12.118218
6,gpt-4-0314,17.30026,14.899426,14.706019
7,gpt-4-0613,11.123554,11.74444,12.844152
