Prompt Type,Model,long,medium,short
Iteration,,1,1,1
0,gpt-3.5-turbo,12.415274,12.667298,12.650116
1,gpt-3.5-turbo-0301,10.008225,10.508121,9.945796
2,gpt-3.5-turbo-0613,3.846338,12.080954,12.550912
3,gpt-3.5-turbo-16k,19.045116,19.095794,17.447221
4,gpt-3.5-turbo-16k-0613,18.912482,20.921684,20.638714
5,gpt-4,12.746174,11.759354,11.782008
6,gpt-4-0314,10.341705,10.741648,11.647422
7,gpt-4-0613,12.973909,13.321863,11.945066
