Prompt Type,Model,long,medium,short
Iteration,,1,1,1
0,gpt-3.5-turbo,10.452959,10.531907,11.120749
1,gpt-3.5-turbo-0301,6.171367,6.190642,6.368772
2,gpt-3.5-turbo-0613,9.517151,9.745687,10.194911
3,gpt-3.5-turbo-16k,11.804569,11.642668,12.019735
4,gpt-3.5-turbo-16k-0613,12.610772,11.319714,11.975132
5,gpt-4,10.249802,12.901657,12.739106
6,gpt-4-0314,11.578753,11.189894,10.298938
7,gpt-4-0613,11.286485,10.30653,12.734592
