Prompt Type,Model,long,medium,short
Iteration,,1,1,1
0,gpt-3.5-turbo,14.262738,12.8609,13.514319
1,gpt-3.5-turbo-0301,20.530463,18.539421,19.399259
2,gpt-3.5-turbo-0613,12.598184,12.930706,12.759835
3,gpt-3.5-turbo-16k,23.062996,,26.338374
4,gpt-3.5-turbo-16k-0613,25.38929,30.840779,24.568663
5,gpt-4,11.314551,12.535449,12.520449
6,gpt-4-0314,14.701854,12.563792,14.277245
7,gpt-4-0613,12.591207,12.863714,13.995294
