Prompt Type,Model,long,medium,short
Iteration,,1,1,1
0,gpt-3.5-turbo,10.270555,14.385538,11.859901
1,gpt-3.5-turbo-0301,11.710134,11.442611,11.823079
2,gpt-3.5-turbo-0613,10.719538,10.525074,10.654309
3,gpt-3.5-turbo-16k,23.694271,24.549593,22.779605
4,gpt-3.5-turbo-16k-0613,21.395675,21.665225,23.896513
5,gpt-4,6.734199,7.228621,7.704937
6,gpt-4-0314,9.938523,9.367221,8.479563
7,gpt-4-0613,7.662744,7.876558,6.226479
