Prompt Type,Model,long,medium,short
Iteration,,1,1,1
0,gpt-3.5-turbo,13.455517,15.131458,12.90309
1,gpt-3.5-turbo-0301,14.343593,14.369288,14.315607
2,gpt-3.5-turbo-0613,12.935871,13.82745,13.0306
3,gpt-3.5-turbo-16k,,27.145133,28.487089
4,gpt-3.5-turbo-16k-0613,24.349121,24.818437,25.423806
5,gpt-4,12.763001,11.382547,11.789228
6,gpt-4-0314,13.335221,11.783443,13.065594
7,gpt-4-0613,12.276189,11.028507,12.014269
