Prompt Type,Model,long,medium,short
Iteration,,1,1,1
0,gpt-3.5-turbo,15.512653,17.043731,17.462787
1,gpt-3.5-turbo-0301,7.853863,7.961888,8.291801
2,gpt-3.5-turbo-0613,15.828812,15.767188,16.607415
3,gpt-3.5-turbo-16k,13.991735,12.14462,13.950849
4,gpt-3.5-turbo-16k-0613,14.200363,12.70441,13.266728
5,gpt-4,8.594395,8.178723,9.993913
6,gpt-4-0314,10.011441,10.952726,11.986106
7,gpt-4-0613,8.70888,9.483015,8.308968
