Prompt Type,Model,long,medium,short
Iteration,,1,1,1
0,gpt-3.5-turbo,12.332723,12.217876,11.348765
1,gpt-3.5-turbo-0301,13.997864,14.596128,13.943662
2,gpt-3.5-turbo-0613,10.759291,12.092389,10.799754
3,gpt-3.5-turbo-16k,,23.276175,24.728959
4,gpt-3.5-turbo-16k-0613,21.832065,21.760682,22.37435
5,gpt-4,13.252799,11.014976,11.127157
6,gpt-4-0314,10.691693,11.909378,12.529759
7,gpt-4-0613,11.454854,10.923927,10.447295
