Prompt Type,Model,long,medium,short
Iteration,,1,1,1
0,gpt-3.5-turbo,10.46845,11.684633,10.71583
1,gpt-3.5-turbo-0301,7.936246,7.888105,7.810439
2,gpt-3.5-turbo-0613,10.600559,9.571899,13.717386
3,gpt-3.5-turbo-16k,16.537439,,19.641649
4,gpt-3.5-turbo-16k-0613,19.767215,17.484868,18.812703
5,gpt-4,18.344927,18.962981,16.721315
6,gpt-4-0314,19.988322,21.013312,22.899795
7,gpt-4-0613,19.639078,15.454868,18.011401
