Prompt Type,Model,long,medium,short
Iteration,,1,1,1
0,gpt-3.5-turbo,14.339018,11.748874,
1,gpt-3.5-turbo-0301,14.678873,14.160094,14.627781
2,gpt-3.5-turbo-0613,14.724419,12.424297,11.309754
3,gpt-3.5-turbo-16k,29.584374,22.457758,23.652977
4,gpt-3.5-turbo-16k-0613,22.265692,28.997034,20.492689
5,gpt-4,13.369811,12.488408,12.494764
6,gpt-4-0314,13.311252,12.596526,13.056579
7,gpt-4-0613,12.031827,11.701903,11.707609
