Prompt Type,Model,long,medium,short
Iteration,,1,1,1
0,gpt-3.5-turbo,25.498591,15.739678,14.154241
1,gpt-3.5-turbo-0301,21.488308,22.151656,22.840098
2,gpt-3.5-turbo-0613,16.264959,,23.395923
3,gpt-3.5-turbo-16k,,25.374682,29.128542
4,gpt-3.5-turbo-16k-0613,30.173121,29.213684,32.975046
5,gpt-4,11.714359,12.356051,13.088357
6,gpt-4-0314,15.131788,17.099907,24.343746
7,gpt-4-0613,12.682589,12.864898,16.212561
