Prompt Type,Model,long,medium,short
Iteration,,1,1,1
0,gpt-3.5-turbo,16.512317,18.29,15.887785
1,gpt-3.5-turbo-0301,11.424838,11.625811,11.282207
2,gpt-3.5-turbo-0613,3.496881,19.173972,16.493158
3,gpt-3.5-turbo-16k,22.547681,22.590702,24.766602
4,gpt-3.5-turbo-16k-0613,21.752407,20.04497,23.681987
5,gpt-4,13.75239,15.820082,17.35031
6,gpt-4-0314,28.753283,30.156578,27.537821
7,gpt-4-0613,15.00336,15.310672,16.454335
