Prompt Type,Model,long,medium,short
Iteration,,1,1,1
0,gpt-3.5-turbo,12.906014,10.767555,12.549559
1,gpt-3.5-turbo-0301,8.711051,7.660533,7.486029
2,gpt-3.5-turbo-0613,12.504834,14.588086,12.112788
3,gpt-3.5-turbo-16k,15.159424,15.927036,16.174536
4,gpt-3.5-turbo-16k-0613,14.77995,14.797666,16.11655
5,gpt-4,15.470259,16.575358,14.769446
6,gpt-4-0314,19.681307,20.062392,20.571872
7,gpt-4-0613,16.451816,18.187906,15.58597
