Prompt Type,Model,long,medium,short
Iteration,,1,1,1
0,gpt-3.5-turbo,11.161852,10.760688,11.49975
1,gpt-3.5-turbo-0301,13.661336,11.889221,12.720489
2,gpt-3.5-turbo-0613,13.418414,10.3616,11.590838
3,gpt-3.5-turbo-16k,14.537641,16.951527,16.806042
4,gpt-3.5-turbo-16k-0613,16.621613,16.246756,17.206337
5,gpt-4,9.365671,8.139452,9.410096
6,gpt-4-0314,10.646115,10.798702,12.224045
7,gpt-4-0613,11.849516,11.951493,10.243625
