Prompt Type,Model,long,medium,short
Iteration,,1,1,1
0,gpt-3.5-turbo,11.080568,12.7066,11.373494
1,gpt-3.5-turbo-0301,10.414699,10.245749,10.655354
2,gpt-3.5-turbo-0613,11.415892,3.412013,12.060619
3,gpt-3.5-turbo-16k,19.799564,19.764785,20.73121
4,gpt-3.5-turbo-16k-0613,20.317176,19.359529,20.364395
5,gpt-4,9.705187,8.93221,9.307218
6,gpt-4-0314,10.151697,11.146192,9.370956
7,gpt-4-0613,9.408628,8.800468,11.016029
