Prompt Type,Model,long,medium,short
Iteration,,1,1,1
0,gpt-3.5-turbo,10.8513,11.644035,13.227969
1,gpt-3.5-turbo-0301,7.451345,7.716882,7.813719
2,gpt-3.5-turbo-0613,10.051153,9.243485,9.998879
3,gpt-3.5-turbo-16k,12.090387,13.502042,11.8549
4,gpt-3.5-turbo-16k-0613,13.21072,13.003081,10.405166
5,gpt-4,9.415056,10.057972,11.434292
6,gpt-4-0314,17.827759,17.48355,18.448806
7,gpt-4-0613,10.463487,10.513116,11.47378
