Prompt Type,Model,long,medium,short
Iteration,,1,1,1
0,gpt-3.5-turbo,12.569989,12.687597,12.964663
1,gpt-3.5-turbo-0301,10.805263,11.182351,11.286942
2,gpt-3.5-turbo-0613,15.296944,13.719337,13.592068
3,gpt-3.5-turbo-16k,20.896324,20.706721,21.774816
4,gpt-3.5-turbo-16k-0613,20.195085,21.334803,22.134781
5,gpt-4,16.598422,17.028894,14.494645
6,gpt-4-0314,17.795926,15.755947,16.643435
7,gpt-4-0613,14.716652,15.526077,12.803002
